Trial02
Date:,2017/07/11
Time:,16:54:38
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
904,-372.390503,308.164246,948.235657,-372.110870,207.214081,945.710999,-312.697052,256.706543,987.115417
905,-372.474457,308.162262,948.062866,-372.186890,207.220184,945.532654,-312.884003,256.701355,987.101257
906,-372.557739,308.160065,947.890503,-372.262085,207.226105,945.354492,-313.071045,256.696045,987.087280
907,-372.640411,308.157654,947.718567,-372.336456,207.231476,945.176758,-313.257935,256.690979,987.073181
908,-372.722443,308.155060,947.547241,-372.410004,207.236038,944.999817,-313.444214,256.686554,987.058838
909,-372.803772,308.152283,947.376709,-372.482727,207.239700,944.823975,-313.629425,256.682983,987.043945
910,-372.884338,308.149292,947.207458,-372.554535,207.242493,944.649475,-313.813141,256.680420,987.028442
911,-372.963989,308.145996,947.039856,-372.625366,207.244568,944.476563,-313.994904,256.678833,987.012207
912,-373.042633,308.142303,946.874329,-372.695068,207.246063,944.305481,-314.174225,256.678009,986.995178
913,-373.120178,308.138245,946.711243,-372.763611,207.247040,944.136658,-314.350739,256.677673,986.977539
914,-373.196411,308.133881,946.550903,-372.830933,207.247482,943.970764,-314.524048,256.677460,986.959229
915,-373.271179,308.129333,946.393372,-372.897064,207.247360,943.808167,-314.693909,256.677032,986.940491
916,-373.344208,308.124939,946.238708,-372.961945,207.246597,943.649414,-314.860107,256.676086,986.921448
917,-373.415192,308.121002,946.086731,-373.025604,207.245255,943.494507,-315.022675,256.674530,986.902100
918,-373.483948,308.117859,945.937256,-373.087921,207.243408,943.343567,-315.181580,256.672424,986.882629
919,-373.550232,308.115845,945.789856,-373.148865,207.241226,943.196350,-315.336731,256.669952,986.863159
920,-373.613953,308.115204,945.644409,-373.208313,207.238998,943.052551,-315.488190,256.667419,986.843567
921,-373.675201,308.115997,945.500610,-373.266174,207.237000,942.911865,-315.635986,256.665131,986.823975
922,-373.734222,308.118103,945.358459,-373.322327,207.235504,942.773804,-315.780212,256.663361,986.804321
923,-373.791290,308.121277,945.217957,-373.376709,207.234665,942.637817,-315.921082,256.662323,986.784607
924,-373.846893,308.125183,945.079102,-373.429352,207.234573,942.503601,-316.058868,256.662140,986.764771
925,-373.901520,308.129395,944.942139,-373.480316,207.235275,942.370544,-316.194000,256.662811,986.744751
926,-373.955597,308.133606,944.807129,-373.529633,207.236816,942.238342,-316.326965,256.664185,986.724487
927,-374.009644,308.137299,944.674194,-373.577423,207.239212,942.106445,-316.458344,256.666077,986.704041
928,-374.064026,308.139984,944.543701,-373.623718,207.242462,941.974609,-316.588806,256.668121,986.683289
929,-374.119080,308.141205,944.415649,-373.668610,207.246552,941.842468,-316.718811,256.669952,986.662292
930,-374.174835,308.140625,944.290161,-373.712189,207.251450,941.709900,-316.848755,256.671204,986.641174
931,-374.231262,308.138245,944.167114,-373.754486,207.257065,941.577148,-316.978729,256.671509,986.619934
932,-374.288177,308.134308,944.046387,-373.795532,207.263290,941.444336,-317.108673,256.670624,986.598633
